"","Description","Ortholog","Adjusted.Pval"
"1026","vesicle tethering complex","K.naganishii.A",1
"1027","COPI-coated vesicle","K.naganishii.B",1
"1028","COPI-coated vesicle membrane","K.naganishii.B",0.0468458103479567
"1029","Golgi apparatus","K.naganishii.B",1
"1030","Golgi membrane","K.naganishii.B",1
"1031","Golgi-associated vesicle","K.naganishii.B",1
"1032","Golgi-associated vesicle membrane","K.naganishii.B",0.0115071305038674
"1033","P-body","K.naganishii.B",1
"1034","U4/U6 x U5 tri-snRNP complex","K.naganishii.B",1
"1035","U6 snRNP","K.naganishii.B",0.0423900705381618
"1036","actin cortical patch","K.naganishii.B",2.99415363053458e-12
"1037","actin cytoskeleton","K.naganishii.B",1.98149481007165e-12
"1038","actin filament","K.naganishii.B",0.0468458103479567
"1039","cell cortex","K.naganishii.B",7.38689214261941e-10
"1040","cell division site","K.naganishii.B",1
"1041","cell pole","K.naganishii.B",7.74027478477849e-08
"1042","cell projection","K.naganishii.B",7.74027478477849e-08
"1043","cell tip","K.naganishii.B",7.74027478477849e-08
"1044","cellular bud","K.naganishii.B",0.00215965251897568
"1045","cellular bud neck","K.naganishii.B",0.0232812059888174
"1046","cellular bud neck septin ring","K.naganishii.B",1
"1047","cellular bud neck septin structure","K.naganishii.B",1
"1048","clathrin-coated vesicle","K.naganishii.B",1
"1049","cleavage apparatus septin structure","K.naganishii.B",1
"1050","coated membrane","K.naganishii.B",1
"1051","coated vesicle","K.naganishii.B",1
"1052","coated vesicle membrane","K.naganishii.B",1
"1053","cortical actin cytoskeleton","K.naganishii.B",2.99415363053458e-12
"1054","cortical cytoskeleton","K.naganishii.B",3.88699653422152e-12
"1055","cytoplasmic ribonucleoprotein granule","K.naganishii.B",1
"1056","cytoplasmic side of membrane","K.naganishii.B",1
"1057","cytoplasmic vesicle","K.naganishii.B",1
"1058","cytoplasmic vesicle membrane","K.naganishii.B",1
"1059","cytoskeleton","K.naganishii.B",5.82555474683682e-07
"1060","endocytic patch","K.naganishii.B",5.01804301967529e-13
"1061","intracellular vesicle","K.naganishii.B",1
"1062","mating projection","K.naganishii.B",4.30848532105422e-07
"1063","mating projection tip","K.naganishii.B",1.84455167787314e-07
"1064","membrane coat","K.naganishii.B",1
"1065","membrane microdomain","K.naganishii.B",0.0115071305038674
"1066","membrane raft","K.naganishii.B",0.0115071305038674
"1067","plasma membrane bounded cell projection","K.naganishii.B",7.54904988140352e-08
"1068","plasma membrane protein complex","K.naganishii.B",1
"1069","polysome","K.naganishii.B",1
"1070","proton-transporting V-type ATPase complex","K.naganishii.B",1
"1071","proton-transporting two-sector ATPase complex","K.naganishii.B",1
"1072","ribonucleoprotein granule","K.naganishii.B",1
"1073","septin cytoskeleton","K.naganishii.B",1
"1074","septin ring","K.naganishii.B",1
"1075","side of membrane","K.naganishii.B",1
"1076","site of polarized growth","K.naganishii.B",4.64111322634637e-05
"1077","spliceosomal tri-snRNP complex","K.naganishii.B",1
"1078","transport vesicle membrane","K.naganishii.B",1
"1079","vacuolar proton-transporting V-type ATPase complex","K.naganishii.B",1
"1080","vesicle","K.naganishii.B",0.0277979632932766
"1081","vesicle coat","K.naganishii.B",0.0423900705381618
"1082","vesicle membrane","K.naganishii.B",1
"1083","vesicle tethering complex","K.naganishii.B",1
"1084","COPI-coated vesicle","T.phaffii.A",1
"1085","COPI-coated vesicle membrane","T.phaffii.A",0.0457959277158968
"1086","Golgi apparatus","T.phaffii.A",1
"1087","Golgi membrane","T.phaffii.A",1
"1088","Golgi-associated vesicle","T.phaffii.A",0.047842583791289
"1089","Golgi-associated vesicle membrane","T.phaffii.A",0.00963593537251503
"1090","P-body","T.phaffii.A",1
"1091","U4/U6 x U5 tri-snRNP complex","T.phaffii.A",1
"1092","U6 snRNP","T.phaffii.A",1
"1093","actin cortical patch","T.phaffii.A",1.46209956969159e-09
"1094","actin cytoskeleton","T.phaffii.A",7.05312721272375e-10
"1095","actin filament","T.phaffii.A",0.0457959277158968
"1096","cell cortex","T.phaffii.A",6.13386986312555e-09
"1097","cell division site","T.phaffii.A",1
"1098","cell pole","T.phaffii.A",5.28912729945131e-08
"1099","cell projection","T.phaffii.A",5.32800575540129e-08
"1100","cell tip","T.phaffii.A",5.28912729945131e-08
"1101","cellular bud","T.phaffii.A",0.00166768370178244
"1102","cellular bud neck","T.phaffii.A",0.00522118948459991
"1103","cellular bud neck septin ring","T.phaffii.A",1
"1104","cellular bud neck septin structure","T.phaffii.A",1
"1105","clathrin-coated vesicle","T.phaffii.A",1
"1106","cleavage apparatus septin structure","T.phaffii.A",1
"1107","coated membrane","T.phaffii.A",0.047842583791289
"1108","coated vesicle","T.phaffii.A",1
"1109","coated vesicle membrane","T.phaffii.A",1
"1110","cortical actin cytoskeleton","T.phaffii.A",1.46209956969159e-09
"1111","cortical cytoskeleton","T.phaffii.A",1.46209956969159e-09
"1112","cytoplasmic ribonucleoprotein granule","T.phaffii.A",1
"1113","cytoplasmic side of membrane","T.phaffii.A",1
"1114","cytoplasmic vesicle","T.phaffii.A",0.047842583791289
"1115","cytoplasmic vesicle membrane","T.phaffii.A",0.0149516351982948
"1116","cytoskeleton","T.phaffii.A",3.12506395256873e-06
"1117","endocytic patch","T.phaffii.A",3.45226513381884e-10
"1118","intracellular vesicle","T.phaffii.A",0.047842583791289
"1119","mating projection","T.phaffii.A",4.84647451532541e-08
"1120","mating projection tip","T.phaffii.A",2.01894120168096e-08
"1121","membrane coat","T.phaffii.A",0.047842583791289
"1122","membrane microdomain","T.phaffii.A",0.00102484740959257
"1123","membrane raft","T.phaffii.A",0.00102484740959257
"1124","plasma membrane bounded cell projection","T.phaffii.A",4.84647451532541e-08
"1125","plasma membrane protein complex","T.phaffii.A",1
"1126","polysome","T.phaffii.A",1
"1127","proton-transporting V-type ATPase complex","T.phaffii.A",1
"1128","proton-transporting two-sector ATPase complex","T.phaffii.A",1
"1129","ribonucleoprotein granule","T.phaffii.A",1
"1130","septin cytoskeleton","T.phaffii.A",1
"1131","septin ring","T.phaffii.A",1
"1132","side of membrane","T.phaffii.A",1
"1133","site of polarized growth","T.phaffii.A",6.70493370276386e-06
"1134","spliceosomal tri-snRNP complex","T.phaffii.A",1
"1135","transport vesicle membrane","T.phaffii.A",1
"1136","vacuolar proton-transporting V-type ATPase complex","T.phaffii.A",1
"1137","vesicle","T.phaffii.A",1
"1138","vesicle coat","T.phaffii.A",0.0409076283359907
"1139","vesicle membrane","T.phaffii.A",0.0149516351982948
"1140","vesicle tethering complex","T.phaffii.A",1
"1141","COPI-coated vesicle","T.phaffii.B",1
"1142","COPI-coated vesicle membrane","T.phaffii.B",1
"1143","Golgi apparatus","T.phaffii.B",1
"1144","Golgi membrane","T.phaffii.B",1
"1145","Golgi-associated vesicle","T.phaffii.B",1
"1146","Golgi-associated vesicle membrane","T.phaffii.B",1
"1147","P-body","T.phaffii.B",1
"1148","U4/U6 x U5 tri-snRNP complex","T.phaffii.B",1
"1149","U6 snRNP","T.phaffii.B",1
"1150","actin cortical patch","T.phaffii.B",1
"1151","actin cytoskeleton","T.phaffii.B",1
"1152","actin filament","T.phaffii.B",1
"1153","cell cortex","T.phaffii.B",1
"1154","cell division site","T.phaffii.B",1
"1155","cell pole","T.phaffii.B",1
"1156","cell projection","T.phaffii.B",1
"1157","cell tip","T.phaffii.B",1
"1158","cellular bud","T.phaffii.B",1
"1159","cellular bud neck","T.phaffii.B",1
"1160","cellular bud neck septin ring","T.phaffii.B",1
"1161","cellular bud neck septin structure","T.phaffii.B",1
"1162","clathrin-coated vesicle","T.phaffii.B",1
"1163","cleavage apparatus septin structure","T.phaffii.B",1
"1164","coated membrane","T.phaffii.B",1
"1165","coated vesicle","T.phaffii.B",1
"1166","coated vesicle membrane","T.phaffii.B",1
"1167","cortical actin cytoskeleton","T.phaffii.B",1
"1168","cortical cytoskeleton","T.phaffii.B",1
"1169","cytoplasmic ribonucleoprotein granule","T.phaffii.B",1
"1170","cytoplasmic side of membrane","T.phaffii.B",1
"1171","cytoplasmic vesicle","T.phaffii.B",1
"1172","cytoplasmic vesicle membrane","T.phaffii.B",1
"1173","cytoskeleton","T.phaffii.B",1
"1174","endocytic patch","T.phaffii.B",1
"1175","intracellular vesicle","T.phaffii.B",1
"1176","mating projection","T.phaffii.B",1
"1177","mating projection tip","T.phaffii.B",1
"1178","membrane coat","T.phaffii.B",1
"1179","membrane microdomain","T.phaffii.B",1
"1180","membrane raft","T.phaffii.B",1
"1181","plasma membrane bounded cell projection","T.phaffii.B",1
"1182","plasma membrane protein complex","T.phaffii.B",1
"1183","polysome","T.phaffii.B",1
"1184","proton-transporting V-type ATPase complex","T.phaffii.B",1
"1185","proton-transporting two-sector ATPase complex","T.phaffii.B",1
"1186","ribonucleoprotein granule","T.phaffii.B",1
"1187","septin cytoskeleton","T.phaffii.B",1
"1188","septin ring","T.phaffii.B",1
"1189","side of membrane","T.phaffii.B",1
"1190","site of polarized growth","T.phaffii.B",1
"1191","spliceosomal tri-snRNP complex","T.phaffii.B",1
"1192","transport vesicle membrane","T.phaffii.B",1
"1193","vacuolar proton-transporting V-type ATPase complex","T.phaffii.B",1
"1194","vesicle","T.phaffii.B",1
"1195","vesicle coat","T.phaffii.B",1
"1196","vesicle membrane","T.phaffii.B",1
"1197","vesicle tethering complex","T.phaffii.B",1
