,PPI_partner.Gene,PPI_partner.ORF,Ortholog.Species,State,PPI.NA,Ortholog.GeneA,Ortholog.GeneB,Ortholog.GeneAnc,PPI.Ortholog.GeneA,PPI.Ortholog.GeneB,PPI.Ortholog.Anc,PPI.A_div_B,PPI.Scer,PPI.Vehicle,MaxPPI,AvePPI,RelPPI,RelPPIMax
46,YDR264C,AKR1,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,3697.5,5988.75,NA,0.617407639,6342.75,6065.75,5988.75,4843.125,0.763568641,0.944188246
47,YDR264C,AKR1,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,4495.75,4974.5,NA,0.903759172,6342.75,6065.75,4974.5,4735.125,0.746541327,0.784281266
119,YGL206C,CHC1,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,82709,37098.5,NA,2.229443239,26085,6250,82709,59903.75,2.296482653,3.170749473
49,YDR264C,AKR1,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,1751.25,2791.25,NA,0.627407076,6342.75,6065.75,2791.25,2271.25,0.358086004,0.440069371
50,YDR264C,AKR1,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,5568.25,2357.75,NA,2.361679567,6342.75,6065.75,5568.25,3963,0.624807851,0.877892082
51,YML086C,ALO1,T.phaffii,AB,No,TPHA0E02830,TPHA0J02370,,7196.75,9292.5,NA,0.774468658,6834.5,3574,9292.5,8244.625,1.20632453,1.359645914
52,YML086C,ALO1,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,836.5,10300,NA,0.081213592,6834.5,3574,10300,5568.25,0.814726754,1.50705977
2,YLR027C,AAT2,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,73575.5,31606.75,NA,2.327841363,10368.75,4043,73575.5,52591.125,5.072079566,7.09588909
54,YML086C,ALO1,K.naganishii,AB,No,KNAG0D01130,KNAG0F01980,,3042.75,7196.75,NA,0.422795012,6834.5,3574,7196.75,5119.75,0.749103812,1.053003146
55,YML086C,ALO1,V.polyspora,AB,No,Kpol_1002.53,Kpol_1033.51,,4479.25,3465.5,NA,1.292526331,6834.5,3574,4479.25,3972.375,0.581223937,0.655388104
56,YER036C,ARB1,N.dairenensis,AB,No,NDAI0F01640,NDAI0I01070,,4090.75,18690,NA,0.218873729,6346.25,4291.5,18690,11390.375,1.794819775,2.945046287
57,YER036C,ARB1,T.blattae,AB,No,TBLA0A02040,TBLA0B05310,,5199.75,26856.5,NA,0.193612347,6346.25,4291.5,26856.5,16028.125,2.525605673,4.231869214
584,YCR030C,SYP1,K.africana,AB,No,KAFR0K00320,KAFR0C02290,,72656.25,5455.25,NA,13.31859218,23167,383,72656.25,39055.75,1.685835456,3.136195882
59,YER036C,ARB1,N.castellii,AB,No,NCAS0A01090,NCAS0D03820,,3168.5,7693,NA,0.411867932,6346.25,4291.5,7693,5430.75,0.85574158,1.212211936
