"ArrayGene","QueryGene","Sample_Plate","Row1536","Col1536","Dox","YPD","CompScore"
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",4,20,32,45467,51777.5,0.878122736709961
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",4,20,40,45908.5,52127,0.880704817081359
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",4,22,20,42759.5,51485,0.830523453433039
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",4,24,40,43113.5,51189.5,0.842233270494926
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",4,30,26,42535.5,55259.5,0.769740949519992
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",5,4,12,41105.5,54850,0.749416590701914
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",5,6,42,43927,60453.5,0.726624595763686
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",5,10,8,40982.5,53397,0.767505665112272
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",5,10,36,48397.5,58321,0.829846881912176
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",5,14,36,47263.5,59895.5,0.789099348031154
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",5,18,28,42301.5,58042,0.728808449054133
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",5,20,32,45734,59497,0.768677412306503
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",5,20,40,45263.5,60136.5,0.752679321210912
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",5,22,20,44370,58599.5,0.757173696021297
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",5,24,40,43632,55087.5,0.792049012933969
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",5,30,26,43015,59073.5,0.728160681185303
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",6,4,12,36178,47394.5,0.763337518066442
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",6,6,42,43565.5,53819,0.80948178152697
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",6,10,8,39545,51831,0.762960390499894
"C.glabrata (CAGL0H03553g)","Vehicle (Empty)",6,10,36,46587,54821.5,0.849794332515528
